first_name,last_name,company_name,address,city,province,postal,phone1,phone2,email,web,country,user_id,birth_date
Ilona,Dudash,Adams Balcom & Larose Pc,2 Sutton Pl S #5727,Rouyn-Noranda,QC,J9X 3V4,819-536-7034,819-413-1530,idudash@dudash.com,http://www.adamsbalcomlarosepc.com,CA,200019,2009-09-15
Willard,Lablanc,Mershon Metal Specialties Inc,1534 Sidco Dr,Leduc,AB,T9E 5A6,780-384-5410,780-835-8022,wlablanc@yahoo.com,http://www.mershonmetalspecialtiesinc.com,CA,200020,2009-03-09
Lauryn,Randol,"Judy, Henry L Esq",4207 Leon Rd,North Vancouver,BC,V7L 3X6,604-236-4625,604-597-5482,lauryn@yahoo.com,http://www.judyhenrylesq.com,CA,200021,1996-09-21
Laurena,Begin,"Barry, Anthony S Esq",7564 N Academy Ave,London,ON,N6A 1S5,519-790-8660,519-942-6403,laurena.begin@begin.com,http://www.barryanthonysesq.com,CA,200022,2013-07-16
Elise,Michelle,"Thurman, William T Esq",88 E Saint Elmo Rd,Hamilton,ON,L8R 3J3,905-652-4509,905-695-9406,elise@gmail.com,http://www.thurmanwilliamtesq.com,CA,200023,2015-03-16
Corrie,Kardell,"Lynch, Steven J Esq",75 Westchester Ave,Pierrefonds,QC,H9J 1W6,514-203-7817,514-329-4482,corrie_kardell@aol.com,http://www.lynchstevenjesq.com,CA,200024,2003-10-23
Kimberely,Rabuse,"Carey, Paul D Esq",89 W 35th St #1,Windsor,ON,N8S 3R1,519-912-5533,519-814-7675,kimberely.rabuse@cox.net,http://www.careypauldesq.com,CA,200025,2006-01-14
Tish,Violett,Electro Arc Manufacturing Co,1 Norris Ave #4095,Laval,QC,H7W 5K7,450-840-7605,450-571-7613,tish.violett@violett.com,http://www.electroarcmanufacturingco.com,CA,200026,2011-09-25
Hollis,Stanfield,Feehan Plumbing & Heating,5174 Interstate 45 N,Yellowhead County,AB,T7E 3A7,780-574-5620,780-994-8693,hollis.stanfield@aol.com,http://www.feehanplumbingheating.com,CA,200027,2016-12-01
Andree,Christmann,Easton Cooperative Bank,765 Rock Island Rd,Strathroy,ON,N7G 3K6,519-872-6826,519-648-4096,andree.christmann@cox.net,http://www.eastoncooperativebank.com,CA,200028,2007-01-17
Lyla,Fucillo,Hambro Forest Products Inc,7979 33  191,North River,NS,B6L 6N1,902-844-1174,902-727-6846,lyla_fucillo@cox.net,http://www.hambroforestproductsinc.com,CA,200029,2011-08-24
Felton,Yafuso,"Penkava, Robert Md",202 Madison Ave,Ottawa,ON,K1Y 1M2,613-749-1169,613-603-5671,felton.yafuso@gmail.com,http://www.penkavarobertmd.com,CA,200030,2014-03-19
Dell,Polino,Saint John Neumann Nurse Home,56 Corporate Dr,Becancour,QC,G9H 1H7,819-255-1725,819-960-7659,dell_polino@polino.com,http://www.saintjohnneumannnursehome.com,CA,200031,2005-09-29
Nohemi,Leko,"Bohne, Karl W Jr",37 Us Highway 12e E #6,Sault Ste. Marie,ON,P6C 2C8,705-838-9265,705-876-8353,nohemi@aol.com,http://www.bohnekarlwjr.com,CA,200032,1993-03-23
Tambra,Lembke,"Moore, Albert F Esq",6734 W Jackson Blvd,Salmon Arm,BC,V1E 4G9,250-353-7479,250-437-2898,tlembke@lembke.org,http://www.moorealbertfesq.com,CA,200033,2014-10-26
Vicki,Maikoksoong,George Bigham & Associates,7 Tomahawk Dr,Richmond,BC,V7A 3N1,604-231-6180,604-518-2078,vicki@gmail.com,http://www.georgebighamassociates.com,CA,200034,2010-06-28
Renato,Airhart,Super 8 Motel,1 Vernon Blvd,Calgary,AB,T2A 2H9,403-444-2250,403-232-4114,renato_airhart@hotmail.com,http://www.supermotel.com,CA,200035,2012-09-17
Lenita,Darbro,"Ball, David S",2726 Franklin Hill Rd,Vernon,BC,V1T 7V8,250-749-4517,250-607-3667,lenita@yahoo.com,http://www.balldavids.com,CA,200036,2005-04-05
Barney,Hagen,Fox Vision Center,6335 Fort Myer Dr,Saint-Hyacinthe,QC,J2S 2N3,450-526-5424,450-755-7626,barney@yahoo.com,http://www.foxvisioncenter.com,CA,200037,2003-10-28
Matthew,Armacost,Livingston & Schneider Pc,220 Old Us Highway 441,Peterborough,ON,K9H 6C3,705-417-7221,705-937-7391,matthew_armacost@gmail.com,http://www.livingstonschneiderpc.com,CA,200038,2001-01-12
Belen,Nelton,A Peter Howell Pc,77 Central Pky N,Quesnel,BC,V2J 1N4,250-768-5812,250-801-3234,bnelton@gmail.com,http://www.apeterhowellpc.com,CA,200039,2015-02-15
Iesha,Wardle,Honker Cut Marine,781 Alabama Ave,Etobicoke,ON,M8Z 2C1,416-989-2001,416-615-4957,iesha@gmail.com,http://www.honkercutmarine.com,CA,200040,1998-06-03
Francesco,Sarchet,Gabriel & Associates,22 Dearborn St,Regina,SK,S4T 4B1,306-524-4509,306-353-2821,francesco@hotmail.com,http://www.gabrielassociates.com,CA,200041,2007-05-22
Paulene,Rhule,Beck Corporation,21 E 64th Ave,Matane,QC,G4W 3G6,418-348-2107,418-378-2652,paulene_rhule@rhule.org,http://www.beckcorporation.com,CA,200042,2011-08-27
Carole,Hughlett,"Kolodny, Howard Esq",9 N Central Ave,Abbotsford,BC,V2S 5R3,604-262-8556,604-598-8225,carole_hughlett@hughlett.com,http://www.kolodnyhowardesq.com,CA,200043,2014-07-14
Miss,Dunning,Mcgladrey & Pullen,38 Douglas Rd E #39,Regina,SK,S4R 1J5,306-508-8874,306-844-7974,mdunning@gmail.com,http://www.mcgladreypullen.com,CA,200044,2005-03-26
Elfrieda,Hinsch,Y 105 Kgfy,4929 Sidney St #8276,Vernon,BC,V1T 4A3,250-454-9384,250-243-5520,elfrieda_hinsch@hinsch.org,http://www.ykgfy.com,CA,200045,2009-06-17
Edelmira,Calzado,Chagrin Wine & Beverage Co,4936 Walcott Rd,Regina,SK,S4R 3M1,306-611-7185,306-432-3860,edelmira@hotmail.com,http://www.chagrinwinebeverageco.com,CA,200046,1999-12-26
Jaime,Wasurick,"Lewis, George L Esq",6760 E Fayette St #9,Saint-Damien,QC,J0K 2N1,450-531-8633,450-988-2708,jaime_wasurick@hotmail.com,http://www.lewisgeorgelesq.com,CA,200047,2000-06-22
Lera,Hua,York Services Landscpg Divsn,6638 S Webster St #491,Miramichi,NB,E1V 2N4,506-556-4300,506-802-9529,lhua@aol.com,http://www.yorkserviceslandscpgdivsn.com,CA,200048,2009-07-16
Jame,Mastro,Janney Montgomery Scott Inc,4465 James St,Kitchener,ON,N2N 1Y6,519-920-7003,519-719-2960,jmastro@aol.com,http://www.janneymontgomeryscottinc.com,CA,200049,1992-06-12
Jillian,Hailstone,Global Securities Info Inc,8721 Everett Rd,Mississauga,ON,L4Z 2V7,905-864-2257,905-995-7113,jhailstone@yahoo.com,http://www.globalsecuritiesinfoinc.com,CA,200050,2017-04-07
Louis,Zarling,Dealers Mfg Co,6 E Kingsbridge Rd,Stoneham-Et-Tewkesbury,QC,G3C 2A8,418-568-3216,418-396-2430,louis@zarling.com,http://www.dealersmfgco.com,CA,200051,2003-08-27
Emmett,Mcshaw,"Yaffa, Michael Esq",920 Union Blvd,Sault Ste. Marie,ON,P6B 5Y2,705-581-1220,705-779-8510,emmett_mcshaw@cox.net,http://www.yaffamichaelesq.com,CA,200052,2010-07-16
Tammy,Sams,Photos Inc,5 Secaucus Rd,Nanaimo,BC,V9R 5W6,250-226-1002,250-625-6517,tammy_sams@sams.com,http://www.photosinc.com,CA,200053,2013-09-14
Willis,Wylie,Acquired Knowledge Inc,646 9th St,Saint-Raymond,QC,G3L 3X9,418-833-1949,418-933-6430,willis@yahoo.com,http://www.acquiredknowledgeinc.com,CA,200054,1994-07-12
Maxima,Brzozowski,B Js Body Shop,864 Aupuni St,St Catharines,ON,L2T 2V2,905-569-6732,905-595-2866,mbrzozowski@aol.com,http://www.bjsbodyshop.com,CA,200055,2007-06-27
Boris,Latif,Emlou Boutique,9390 Fortin Dr,Quebec,QC,G1M 2H8,418-459-4884,418-668-9068,boris.latif@latif.com,http://www.emlouboutique.com,CA,200056,2016-08-18
Salina,Knavel,Schiller & Osbourn,4 Newark St,Arnprior,ON,K7S 2G8,613-280-7170,613-942-9083,salina.knavel@gmail.com,http://www.schillerosbourn.com,CA,200057,1995-05-01
Justa,Dini,Superior Coffee & Foods,8 J St,Vernon,BC,V1T 6J8,250-982-9377,250-460-8500,justa.dini@hotmail.com,http://www.superiorcoffeefoods.com,CA,200058,1999-01-03
Amalia,Wolfgang,"Knutson, Becky S Esq",394 Dice Rd #861,Windsor,ON,N8N 3V8,519-219-3608,519-885-5104,amalia_wolfgang@wolfgang.org,http://www.knutsonbeckysesq.com,CA,200059,1996-07-09
Felix,Tutterrow,Corinth Dry Cleaners,92 W 39th St #9990,London,ON,N6G 3E5,519-426-7161,519-845-2626,ftutterrow@tutterrow.org,http://www.corinthdrycleaners.com,CA,200060,2009-06-25
Eura,Mcglocklin,Graphic Color Litho Inc,9 N Monroe St,Lloydminster,SK,S9V 0C6,306-979-2571,306-813-8269,eura@mcglocklin.org,http://www.graphiccolorlithoinc.com,CA,200061,2012-07-21
Lang,Heuring,Hill Realty Property Mgmt,2 Global Rd,Cambridge,ON,N1R 2X2,519-985-7311,519-864-3447,lang@cox.net,http://www.hillrealtypropertymgmt.com,CA,200062,2016-06-23
Agustin,Lakatos,"Thrasher, John E Esq",23 E Wacker Dr #64,Becancour,QC,G9H 4T4,819-365-5394,819-820-9025,agustin.lakatos@hotmail.com,http://www.thrasherjohneesq.com,CA,200063,2007-12-03
Jaime,Lowrance,Sams Liquor & Deli,1 Nw 167th St,Winnipeg,MB,R3J 2Z1,204-438-6204,204-941-5253,jaime.lowrance@lowrance.org,http://www.samsliquordeli.com,CA,200064,2006-11-12
Carman,Gudiel,"Weiss, Martin Esq",1 Frontage Rd,St. Johns,NL,A1B 5B3,709-366-8943,709-882-9189,carman@gmail.com,http://www.weissmartinesq.com,CA,200065,2012-03-27
Argelia,Hofbauer,Medical Productions,5 Columbia,North Vancouver,BC,V7J 2J9,604-823-2881,604-904-3459,argelia.hofbauer@cox.net,http://www.medicalproductions.com,CA,200066,1999-11-11
Mammie,Cisney,"Arellano, Cecilia S Md",14 E 30th St,Montreal,QC,H1E 1R4,514-205-4258,514-841-9635,mammie@cox.net,http://www.arellanoceciliasmd.com,CA,200067,2004-03-16
Rashad,Menino,World Sign Associates,8 Commercial Ave,Carleton Place,ON,K7C 2T3,613-697-2555,613-841-5430,rashad.menino@menino.com,http://www.worldsignassociates.com,CA,200068,2000-09-07
Janna,Bastain,"Hastings, Robert R Jr",41 Drive  Hwy 54s S,Vancouver,BC,V6N 3C5,604-575-7837,604-519-7671,janna@bastain.com,http://www.hastingsrobertrjr.com,CA,200069,2002-01-24
Callie,Neikirk,"Shields, Sheridn Cpa",6601 Park Ave #9924,Mississauga,ON,L4T 0A1,905-465-6909,905-894-7244,callie.neikirk@neikirk.org,http://www.shieldssheridncpa.com,CA,200070,2010-03-11
Coral,Helmcamp,Hepco Inc,4184 E 142nd St,Toronto,ON,M5V 0B4,416-589-6075,416-469-6933,coral.helmcamp@helmcamp.org,http://www.hepcoinc.com,CA,200071,2001-10-06
Xenia,Mushero,Institute For Law & Jstc Inc,1 El Camino Ave #39,Kingston,ON,K7K 1P6,613-714-1829,613-877-4457,xenia@aol.com,http://www.instituteforlawjstcinc.com,CA,200072,2012-02-27
Adelle,Nitcher,John J Mccarthy Agency Inc,10 Midway Dr,Thorold,ON,L2V 5C7,905-998-3758,905-848-6892,anitcher@aol.com,http://www.johnjmccarthyagencyinc.com,CA,200073,1997-07-15
Hildegarde,Wehrwein,Ocean State Rental Corp,2 Cottman Ave,West Vancouver,BC,V7T 1R7,604-960-7463,604-475-5636,hwehrwein@gmail.com,http://www.oceanstaterentalcorp.com,CA,200074,2005-07-14
Phuong,Sugai,"Scholtes, William E Esq",8926 E 119th St #9,Lavaltrie,QC,J5T 2C7,450-501-4406,450-760-5225,psugai@gmail.com,http://www.scholteswilliameesq.com,CA,200075,2011-08-06
Leontine,Lafoy,"Caffrey, John F Esq",191 Richland St #5,Quebec,QC,G1J 4B2,418-271-8667,418-975-7693,llafoy@aol.com,http://www.caffreyjohnfesq.com,CA,200076,2009-11-29
Darell,Mcalarney,Janney Montgomery Scott Inc,8 E 92nd St,Ajax,ON,L1S 6V3,905-846-7737,905-741-3908,darell_mcalarney@mcalarney.com,http://www.janneymontgomeryscottinc.com,CA,200077,2001-01-12
Madonna,Landman,"Brown, Glenn Esq",283 Andover St,Castlegar,BC,V1N 3P7,250-307-7698,250-281-5616,madonna.landman@landman.com,http://www.brownglennesq.com,CA,200078,1998-04-08
Chuck,Berggren,Weyerhaeuser Paper Co,764 Louisville Plac,St. Johns,NL,A1E 2L8,709-534-6576,709-374-6188,chuck@gmail.com,http://www.weyerhaeuserpaperco.com,CA,200079,2006-01-14
Gregg,Epperheimer,Best Western Sterling House,59 W Jackson Blvd #11,Lasalle,QC,H8R 3T2,514-302-4158,514-293-8889,gepperheimer@aol.com,http://www.bestwesternsterlinghouse.com,CA,200080,1997-10-29
Yan,Bubrig,Database Programming & Design,712 N 5th St,Grand Manan,NB,E5G 1L1,506-493-4894,506-822-2002,yan@cox.net,http://www.databaseprogrammingdesign.com,CA,200081,2004-08-13
Stephanie,Garlett,Brown Shoe Co,6 L St #1761,Kanata,ON,K2T 1G5,613-557-7338,613-998-1215,stephanie.garlett@gmail.com,http://www.brownshoeco.com,CA,200082,2009-07-27
Alberto,Stenquist,Dowell Associates Inc,6126 E 14th St #6,St Catharines,ON,L2N 6C7,905-435-9456,905-433-2538,alberto_stenquist@stenquist.org,http://www.dowellassociatesinc.com,CA,200083,1993-06-04
Wayne,Shivers,Ram Page,865 Ponce De Leon Blvd,Chicoutimi,QC,G7H 6A2,418-374-1965,418-323-3965,wayne@aol.com,http://www.rampage.com,CA,200084,2004-06-18
Kristal,Bothe,L A Kennedy Inc,896 Pershing Ave,Paradise,NL,A1L 2Y8,709-976-5766,709-937-7068,kristal@hotmail.com,http://www.lakennedyinc.com,CA,200085,2016-08-05
Florencia,Stadel,"Cornwell, Michael C Esq",178 Riverdale Rd,Ingersoll,ON,N5C 2W2,519-961-7871,519-283-2137,fstadel@gmail.com,http://www.cornwellmichaelcesq.com,CA,200086,2016-09-03
Darrin,Tumolillo,Metro Press,4 Pedretti Ave #2,Saskatoon,SK,S7H 1X9,306-748-5721,306-438-8135,darrin@tumolillo.com,http://www.metropress.com,CA,200087,1997-02-11
Freeman,Rudig,Ramsey Secretarial Service,4 W Sedgley Ave,Otterburn Park,QC,J3H 4V8,450-347-6388,450-586-7429,freeman@yahoo.com,http://www.ramseysecretarialservice.com,CA,200088,1993-04-11
Lazaro,Mollison,United Drilling Inc,31 E Middlefield Rd #8555,Beloeil,QC,J3G 3J4,450-356-6427,450-270-3903,lazaro@gmail.com,http://www.uniteddrillinginc.com,CA,200089,2004-06-04
Ellsworth,Rieg,Peyote Bird Designs,7662 Us Highway 46 #9003,Napanee,ON,K7R 1K5,613-862-4724,613-414-6589,erieg@hotmail.com,http://www.peyotebirddesigns.com,CA,200090,2001-07-31
Brinda,Mrkvicka,Gittleman Muhlstock,1 Park Ave,Newbridge,NB,E7N 1J4,506-392-8334,506-912-9599,brinda.mrkvicka@gmail.com,http://www.gittlemanmuhlstock.com,CA,200091,2016-09-15
Florinda,Mackedanz,"Hoyt, Robert F Esq",2782 Midland Ave,Dieppe,NB,E1A 8X6,506-230-8075,506-590-6765,florinda_mackedanz@mackedanz.org,http://www.hoytrobertfesq.com,CA,200092,2012-12-21
Nadine,Swartzbeck,Contact Enterprises,3 Federal Blvd,Beloeil,QC,J3G 4M4,450-353-2331,450-552-2449,nadine_swartzbeck@swartzbeck.org,http://www.contactenterprises.com,CA,200093,2008-04-07
Arlette,Torchio,A All In One Construction,485 Rolling Rd,Lasalle,QC,H8R 3C2,514-459-6883,514-330-7587,arlette_torchio@hotmail.com,http://www.aallinoneconstruction.com,CA,200094,2007-08-03
Adolph,Krivanec,Sas Rubber Inc,6605 Federal St,Etobicoke,ON,M8Y 3L6,416-736-1436,416-293-9664,akrivanec@hotmail.com,http://www.sasrubberinc.com,CA,200095,2012-09-22
Georgiana,Colbath,Stewart Filmscreen Corp,505 E 9mile Rd,Sainte-Therese,QC,J7E 3C9,450-409-1254,450-825-8316,gcolbath@hotmail.com,http://www.stewartfilmscreencorp.com,CA,200096,2017-03-30
Rana,Lehn,"Freeman, Steven R Esq",32 Rocklyn Ave,Milton,ON,L9T 5W8,905-286-8285,905-602-1487,rlehn@yahoo.com,http://www.freemanstevenresq.com,CA,200097,2009-01-01
Chi,Morgan,"Holmes, Armstead J Esq",2953 5th Ave #27,Saint-Raymond,QC,G3L 3K2,418-922-5578,418-327-9560,chi@gmail.com,http://www.holmesarmsteadjesq.com,CA,200098,1996-04-12
Starr,Prothro,Gs Roofing Company,133 Us Highway 206,Chicoutimi,QC,G7H 4M5,418-811-3750,418-867-8129,sprothro@prothro.com,http://www.gsroofingcompany.com,CA,200099,2007-07-23
Glennis,Roseum,York Services Landscpg Divsn,1 Pershing Ave,Brandon,MB,R7A 4C6,204-514-9319,204-206-2818,glennis.roseum@gmail.com,http://www.yorkserviceslandscpgdivsn.com,CA,200100,1997-06-12
Thea,Petermeier,Anderson Heather Zane,402 Santa Isabel Ave,Sept-Iles,QC,G4S 1Z5,418-360-6739,418-579-7203,thea@hotmail.com,http://www.andersonheatherzane.com,CA,200101,2014-02-19
Rosalind,Persechino,Grand Prairie Chamber Commrce,86 Shady Run Rd,Kanata,ON,K2M 1E6,613-975-5760,613-310-5882,rosalind.persechino@aol.com,http://www.grandprairiechambercommrce.com,CA,200102,1996-02-18
Shenika,Tapian,Helco Sales Co,4 Collier Rd Nw,Ottawa,ON,K1S 1N5,613-219-1869,613-639-9327,shenika.tapian@aol.com,http://www.helcosalesco.com,CA,200103,2016-11-02
Veta,Vandeberg,"Rickard, Deborah S",940 E Jefferson Ave,Juniper,NB,E7L 1G1,506-996-1241,506-589-3482,vvandeberg@gmail.com,http://www.rickarddeborahs.com,CA,200104,1993-12-14
Herschel,Geneseo,Molded Dimensions Inc,7753 W 8th,Toronto,ON,M4V 1Y3,416-786-7887,416-325-4082,herschel@geneseo.com,http://www.moldeddimensionsinc.com,CA,200105,1996-03-24
Dianne,Tomasic,"Samios, Gus Esq",53 6  17 M At Bradleys,Dartmouth,NS,B2Y 3L2,902-938-6891,902-250-5089,dianne@yahoo.com,http://www.samiosgusesq.com,CA,200106,2006-05-26
Micah,Gerten,Fairfield Inn,103 Madison Ave,St. Johns,NL,A1E 2J5,709-581-5842,709-472-4405,micah@cox.net,http://www.fairfieldinn.com,CA,200107,1997-11-12
Kaycee,Alaibilla,A & H Sptc Systems & Matl Inc,8788 E 64th Ave,Vancouver,BC,V6R 1N3,604-992-6045,604-609-6898,kaycee.alaibilla@yahoo.com,http://www.ahsptcsystemsmatlinc.com,CA,200108,2010-03-02
Tesha,Brang,Butler Tool & Design Inc,831 Vanowen St #5,Montreal,QC,H4K 2N2,514-432-5290,514-232-9502,tesha@aol.com,http://www.butlertooldesigninc.com,CA,200109,2016-01-24
Marya,Chhour,Auchter Industrial Vac Inc,661 Pitkin Ave,Calgary,AB,T3Z 3S8,403-382-4146,403-980-7897,marya@cox.net,http://www.auchterindustrialvacinc.com,CA,200110,2005-11-27
Ronnie,Kettelle,Pure Wtr Inc Wrldwd Corprt,3 Avenue Rt 295 #199,Halifax,NS,B3H 1M2,902-367-7042,902-331-8779,ronnie_kettelle@aol.com,http://www.purewtrincwrldwdcorprt.com,CA,200111,2002-01-12
Mabel,Fower,"Swartz, John L Esq",709 W Waters Ave,Chicoutimi,QC,G7H 3T5,418-339-7473,418-795-6863,mabel_fower@fower.com,http://www.swartzjohnlesq.com,CA,200112,2017-02-05
Harley,Works,Alliance Construction Co Inc,27 Spring St,Woodstock,ON,N4S 2K1,519-913-7772,519-633-3173,harley@cox.net,http://www.allianceconstructioncoinc.com,CA,200113,2001-02-02
Joye,Nedman,Valley Credit Union,9 Court St,Regina,SK,S4N 3J4,306-991-3698,306-775-6775,joye@cox.net,http://www.valleycreditunion.com,CA,200114,2000-11-10
Luisa,Harnish,Level Export Sales Corp,82 Westminster Blvd,Vancouver,BC,V5X 2B5,604-399-1449,604-967-7334,lharnish@harnish.com,http://www.levelexportsalescorp.com,CA,200115,1998-01-19
Stacey,Lortz,Electrical Workers Unon Ibew,5039 Coffee Rd,Scarborough,ON,M1K 1H4,416-310-1610,416-753-5069,stacey_lortz@aol.com,http://www.electricalworkersunonibew.com,CA,200116,2006-07-18
Reyes,Mesmer,"Richardson, David J Esq",9 E Thayer Ave #3,Hamilton,ON,L8S 2N1,905-402-9203,905-297-5980,reyes@mesmer.org,http://www.richardsondavidjesq.com,CA,200117,2012-08-15
Avery,Demus,Carriage House Cllsn Rpr Inc,1 Highland Ave,Maple Ridge,BC,V4R 1Z3,604-548-4412,604-855-5368,avery.demus@aol.com,http://www.carriagehousecllsnrprinc.com,CA,200118,2005-09-13
Colby,Scotts,Mass Human Services Coalition,7 E 1st St,Barrie,ON,L4N 3M9,705-668-5094,705-288-6886,cscotts@aol.com,http://www.masshumanservicescoalition.com,CA,200119,2003-07-01
Afton,Wrinkle,Super 8 Motel,652 5th Ave,Ottawa,ON,K1N 6S5,613-851-7883,613-887-9528,awrinkle@wrinkle.org,http://www.supermotel.com,CA,200120,1992-11-09
India,Sifford,Fashion Shop & Save,162 Sunrise Plz,Toronto,ON,M5N 1J1,416-866-6707,416-539-4631,isifford@sifford.org,http://www.fashionshopsave.com,CA,200121,1999-11-24
Brunilda,Coin,Young Contractors Inc,300 Congers Rd #77,Saint-Paul,NB,E4T 3B9,506-327-7460,506-881-6523,brunilda_coin@aol.com,http://www.youngcontractorsinc.com,CA,200122,2002-06-02
Jenifer,Emanuel,"Bambrickv, Timothy F Esq",78 152nd Ave #4179,Duncan,BC,V9L 4G2,250-947-2063,250-845-8934,jemanuel@emanuel.com,http://www.bambrickvtimothyfesq.com,CA,200123,2008-10-19
Makeda,Nosis,Lloyds Screenprinting,956 Sierra Ave,Toronto,ON,M5K 1A1,416-827-4082,416-523-2691,makeda.nosis@yahoo.com,http://www.lloydsscreenprinting.com,CA,200124,1994-09-17
Vivan,Oppy,Record Journal,4696 Alewa Dr,Swift Current,SK,S9H 3S9,306-325-3090,306-606-8869,voppy@gmail.com,http://www.recordjournal.com,CA,200125,2000-11-11
Eric,Gazzola,Moriah Fund Inc,732 Congress St,Saint-Georges,QC,G5Z 0N4,418-274-7373,418-389-1370,eric@cox.net,http://www.moriahfundinc.com,CA,200126,2004-03-17
Thersa,Davirro,"Herstein, Elliot J",863 E Mcdowell Rd,Kamloops,BC,V2C 6S8,250-540-5275,250-359-4646,thersa.davirro@aol.com,http://www.hersteinelliotj.com,CA,200127,2007-11-28
Mindy,Presnal,"Gavin, William H Esq",82 Us Highway 111,Vancouver,BC,V5X 3K2,604-213-8721,604-936-4293,mpresnal@yahoo.com,http://www.gavinwilliamhesq.com,CA,200128,2008-09-03
Luis,Metzner,Hyman And Lippitt,8868 S Arroyo Pkwy #996,Trois-Rivieres,QC,G8V 2J6,819-860-8913,819-747-5807,lmetzner@metzner.org,http://www.hymanandlippitt.com,CA,200129,1992-08-19
Dawne,Mcloud,Bridger Scientific Inc,25 Keystone Xing,Stoney Creek,ON,L8E 2E4,905-760-9649,905-999-2576,dmcloud@cox.net,http://www.bridgerscientificinc.com,CA,200130,2016-06-19
